,Name,Cusines,Dining_style,Phone number,Website,Location,Payment Options
124,"
The Italian Greyhound
","Italian, British",Casual Dining,+44 20 3826 7940,http://theitaliangreyhound.co.uk/,"
62-64 Seymour Street, London, W1H 5BN
","AMEX, Mastercard, Visa"
125,"
ZIMA Russian Restaurant
","Russian, Eastern European, Contemporary European",Casual Dining,+44 20 7494 9111,http://zima.restaurant/,"
45 Frith Street, London, W1D 4SD
","AMEX, Mastercard, Visa"
126,"
Casa Cruz
","Argentinian, South American, European",Casual Elegant,+44 20 3321 5400,http://www.casacruz.co.uk/,"
123a Clarendon Road, London, W11 4JG
","AMEX, Mastercard, Visa"
127,"
Tootoomoo Whetstone
","Pan-Asian, Chinese, Japanese",Casual Dining,+44 20 8446 8644,http://www.tootoomoo.co.uk/,"
1371 High Road, London, N20 9LN
","AMEX, Mastercard, Visa"
128,"
Bella Cosa Restaurant
","Italian, Pizza Bar, Seafood",Fine Dining,+44 20 7132 1212,http://www.bellacosarestaurant.com/,"
Drewry House 213 Marsh Wall, London, E14 9FJ
","AMEX, Diners Club, Discover, JCB, Mastercard, Visa"
129,"
Fulham Kitchen
","Continental, Mediterranean",Casual Elegant,+44 20 3609 3354,http://www.fulhamkitchen.com/,"
228 Munster Road, London, SW6 6AZ
","AMEX, Mastercard, Visa"
130,"
Dan&Angel Restaurant
","Pizza Bar, Mediterranean, Vegetarian / Vegan",Casual Dining,+44 20 7738 1222,http://www.dnarestaurant.uk/,"
143 St John Hill, London, SW11 1TQ
","AMEX, Mastercard, Visa"
131,"
Arlo's Balham
","Steak, Vegetarian, British",Casual Dining,+44 20 3019 6590,http://www.arlos.co.uk/,"
1 Ramsden Road, London, SW12 8QX
","Mastercard, Visa"
132,"
Swans Bar at Maison Assouline
","French, Modern European",Casual Elegant,+44 20 3034 1197,http://www.maisonassouline.com/,"
196A Piccadilly, London, W1J 9EY
","AMEX, Mastercard, Visa"
133,"
TOZI Victoria
",Italian,Casual Dining,+44 20 7769 9771,http://www.tozirestaurant.co.uk/home,"
8 Gillingham Street, London, SW1V 1HJ
","AMEX, Diners Club, Discover, JCB, Mastercard, Visa"
134,"
La Petite Ferme London
",French,Home Style,+44 20 7837 5293,http://www.lafermelondon.com/,"
102-104 Farringdon, London, EC1R 3EA
","AMEX, Mastercard, Visa"
135,"
Delicious by Franco
",Italian,Casual Dining,+44 20 7482 3460,http://www.deliciousbyfranco.co.uk/,"
320 Kentish Town Road, London, NW5 2HT
","Mastercard, Visa"
136,"
Orford Road Tapas
","Spanish, Latin / Spanish, Mediterranean",Casual Dining,+44 20 8503 6542,http://orfordtapas.co.uk/,"
32 Orford Road, London, E17 9NJ
","AMEX, Mastercard, Visa"
137,"
Iberica Victoria
","Spanish, Tapas / Small Plates, Mediterranean",Casual Dining,+44 20 3026 5118,http://www.ibericarestaurants.com/,"
5-6 Zig Zag Building, London, SW1E 6SQ
","AMEX, Mastercard, Visa"
138,"
The Market Thai
","Spanish, Tapas / Small Plates, Mediterranean",Casual Dining,+44 20 3026 5118,http://www.ibericarestaurants.com/,"
240 Portobello Rd, London, W11 1LL
","Mastercard, Visa"
139,"
SUSHINOEN
",Japanese,Casual Dining,+44 20 3645 6734,http://www.sushinoen.com/,"
2 White Church Ln, London, E1 7QR
","AMEX, JCB, Mastercard, Visa"
140,"
Indian Curry House Village Masaleh
","Indian, Pizzeria",Casual Dining,+44 20 8674 3388,http://www.lacasadegliamici.com/,"
196 Norwood Road Tulse Hill, London, SE27 9AU
","Mastercard, Visa"
141,"
Social Wine and Tapas
","Tapas / Small Plates, British",Casual Dining,+44 20 7993 3257,http://www.socialwineandtapas.com/,"
39 James Street, London, W1U 1DL
","AMEX, Mastercard, Visa"
142,"
El Inca Plebeyo
","Latin American, South American, Fusion / Eclectic",Casual Dining,+44 20 7704 9393,http://www.elincaplebeyo.co.uk/,"
162 Essex Road, London, N1 8LY
","Mastercard, Pay with OpenTable, Visa"
143,"
La Barrique
","Pizza Bar, Wine Bar",Casual Dining,+44 20 7474 8042,http://www.labarrique.co.uk/,"
Warehouse K Western Gateway, London, E16 1DR
","AMEX, Discover, Mastercard, Visa"
144,"
Canto Corvino
",Italian,Casual Elegant,+44 20 7655 0390,http://www.cantocorvino.co.uk/,"
21 Artilery lane Spitalfields, London, E1 7HA
","AMEX, Mastercard, Visa"
145,"
Bnova
",Indian,Casual Dining,+44 20 8905 6966,http://bnova.co.uk/,"
865 Honeypot Ln, London, HA7 1AR
","Mastercard, Visa"
146,"
The Green Room
","European, British, Burgers",Fine Dining,+44 20 7452 3600,http://www.greenroom.london/,"
101 Upper Ground, London, SE1 9PP
","Mastercard, Visa"
147,"
Cacio & Pepe
","Italian, Mediterranean, European",Casual Dining,+44 20 7630 7588,http://www.cacioepepe.co.uk/,"
46 Churton Street, London, SW1V 2LP
","AMEX, Diners Club, Mastercard, Visa"
148,"
Thai Square Fulham
",Thaï,Casual Elegant,+44 20 7386 9900,https://thaisq.com/,"
563 Fulham Road, London, SW6 1ES
","AMEX, JCB, Mastercard, Visa"
149,"
Cafe Amaranth
","Thaï, Indonesian / Malaysian, Asian",Casual Dining,+44 20 8874 9036,http://www.cafeamaranth.co.uk/,"
346-348 Garratt Lane, London, SW18 4ES
","Mastercard, Visa"
150,"
M Raw Victoria Street
","Vegetarian / Vegan, International, Fusion / Eclectic",Casual Elegant,+44 20 3327 7776,http://www.mrestaurants.co.uk/,"
3 Zig Zag Building 70 Victoria Street, London, SW1E 6SQ
","AMEX, Diners Club, Mastercard, Visa"
151,"
Buenos Aires Cafe - Greenwich
","Argentinian, Steak",Casual Dining,+44 20 8858 9172,http://buenosairescafe.co.uk/,"
15 Nelson Road Greenwich Peninsula, London, SE10 9JB
","Mastercard, Visa"
152,"
Buenos Aires Cafe - Blackheath
","Argentinian, Steak, Pizzeria",Casual Dining,+44 20 8318 5333,http://www.buenosairescafe.co.uk/,"
17 Royal Parade, London, SE3 0TL
","Mastercard, Visa"
153,"
Ludlow's
","Mediterranean, Bar / Lounge / Bottle Service",Casual Dining,+44 20 7228 8840,http://ludlowsbarestaurant.com/,"
15 Battersea Square, London, SW11 3RA
","AMEX, Mastercard, Visa"
154,"
Belgo Centraal
","Belgian, European",Casual Dining,+44 20 7813 2233,http://www.belgo.com/restaurant/centraal/,"
50 Earlham Street, London, WC2H 9LA
","AMEX, Diners Club, Mastercard, Visa"
155,"
Bandol
","French, Seafood, Contemporary French",Casual Elegant,+44 20 7351 1322,http://www.barbandol.co.uk/,"
6 Hollywood Road, London, SW10 9HY
","AMEX, Mastercard, Visa"
156,"
Blues Kitchen Brixton - Drinks Tables
","American, Burgers, Barbecue",Casual Dining,+44 20 7274 0591,https://theblueskitchen.com/brixton/listings/,"
40 Acre Lane, London, SW2 5SP
","Mastercard, Visa"
157,"
Enoteca Rabezzana
",Italian,Casual Elegant,+44 20 7600 0266,http://www.rabezzana.co.uk/,"
62-63 Long Lane, London, EC1A 9EJ
","AMEX, Diners Club, JCB, Mastercard, Visa"
158,"
Ours
",Mediterranean,Casual Elegant,+44 20 7100 2200,http://www.restaurant-ours.com/,"
264 Brompton Road, London, SW3 2AS
","AMEX, Diners Club, Mastercard, Visa"
159,"
The One Tun
",Pan-Asian,Casual Dining,+44 20 7405 1521,http://www.onetun.co.uk/,"
125/6 Saffron Hill, London, EC1N 8QS
","AMEX, Mastercard, Visa"
160,"
Suchard Thai Restaurant
",Thaï,Casual Dining,+44 20 7357 6381,http://www.suchardthai.co.uk/,"
102 Tooley Street London Bridge, London, SE1 2TH
","Mastercard, Visa"
161,"
Flora Indica
","Indian, Bar / Lounge / Bottle Service, British",Fine Dining,+44 20 7370 4450,http://www.flora-indica.com/,"
242 Old Brompton Road, London, SW5 0DE
","AMEX, Mastercard, Visa"
162,"
Zest Restaurant @ JW3
","Middle Eastern, Kosher, Vegetarian / Vegan",Casual Elegant,+44 20 7433 8955,http://www.zestatjw3.co.uk/,"
341-351 Finchley Road, London, NW3 6ET
","Mastercard, Visa"
163,"
The Culpeper
",European,Casual Elegant,+44 20 7247 5371,http://www.theculpeper.com/,"
40 Commercial Street, London, E1 6LP
","AMEX, Mastercard, Visa"
164,"
Pure Indian Cooking
",Indian,Fine Dining,+44 20 7736 2521,http://www.pureindiancooking.com/,"
67 Fulham High street, London, SW6 3JJ
","AMEX, Mastercard, Visa"
165,"
Foxlow Balham
","British, International",Casual Dining,+44 20 7680 2700,http://www.foxlow.co.uk/,"
15-19 Bedford Hill, London, SW12 9EX
","AMEX, Mastercard, Visa"
166,"
Cochin - Finchley Central
",Indian,Casual Dining,+44 20 8346 1685,http://www.cochinrestaurant.co.uk/,"
54 Ballards Lane, London, N3 2BU
","Mastercard, Visa"
167,"
Fiddie's
",Italian,Casual Dining,+44 20 7586 5050,http://www.fiddiesitaliankitchen.com/,"
13 New College Parade, London, NW3 5EP
","Mastercard, Visa"
168,"
Oaka at The Mansion House
",Pan-Asian,Casual Dining,+44 20 7582 5599,http://www.oakalondon.com/about,"
48 Kennington Park Road, London, SW11 4RS
","AMEX, Mastercard, Visa"
169,"
Haweli of Ealing
",Halal,Fine Dining,+44 20 7582 5599,http://www.oakalondon.com/about,"
127-129 Uxbridge Road, London, W13 9AU
","AMEX, Mastercard, Visa"
170,"
Kintan
","Japanese, Barbecue, Japanese (Yakiniku)",Casual Dining,+44 20 7242 8076,http://kintan.uk/,"
34 High Holborn, London, WC1V 6AE
","AMEX, Mastercard, Visa"
171,"
Lisa's Italian
",Italian,Casual Dining,+44 20 8964 8293,http://www.lisasportobello.com/,"
305 Portobello Road, London, W10 5TD
","AMEX, Mastercard, Visa"
172,"
The Royal Oak
","Gastro Pub, British",Casual Dining,+44 20 8527 2022,http://royaloakhighamspark.co.uk/,"
320 Hale End Road, London, IG8 9LN
","Mastercard, Visa"
173,"
Gunpowder
",Indian,Casual Dining,+44 20 7426 0542,http://www.gunpowderlondon.com/,"
11 White's Row, London, E1 7NF
","Mastercard, Visa"
174,"
Itto Noodle Bar
",Chinese,Casual Dining,+44 20 7275 8827,http://itto.co.uk/,"
226 Stoke Newington High Street, London, N16 7HU
","Mastercard, Visa"
175,"
Arabesque Restaurant London
",Mediterranean,Casual Dining,+44 20 7041 9793,http://arabesquerestaurant.co.uk/,"
23 Winchester Rd, London, NW3 3NR
","Diners Club, Discover, Mastercard, Visa"
176,"
Shack-Fuyu
",Japanese,Casual Dining,+44 20 3019 3492,https://bonedaddies.com/shack-fuyu-menu/,"
14a Old Compton Street, London, W1D 4TJ
","AMEX, Mastercard, Visa"
177,"
Fuji Restaurant
","Japanese, Sushi",Casual Elegant,+44 20 7254 6093,http://fujirestaurant.co.uk/,"
15 Stoke Newington Church Street, London, N16 0NX
","Mastercard, Visa"
178,"
Mesi's Kitchen
",Ethiopian,Casual Dining,+44 7522 425852,http://www.mesiskitchen.com/,"
128 Holloway Road, London, N7 8JE
","Mastercard, Visa"
179,"
Union Viet
","Vietnamese, Asian",Casual Dining,+44 20 3302 8828,http://www.unionviet.com/,"
120 Union St, London, SE1 0FR
","AMEX, Carte Blanche, Diners Club, Discover, JCB, Mastercard, Visa"
180,"
Peninsula Restaurant - InterContinental London The O2
","Modern European, British, Modern European",Elegant Dining,+44 20 8463 6868,http://www.iclondon-theo2.com/dining/peninsula-restaurant,"
1 Waterview Drive Greenwich Peninsula, London, SE10 0TW
","AMEX, Mastercard, Visa"
181,"
Boqueria - Battersea
","Spanish, Tapas / Small Plates",Casual Elegant,+44 20 7498 8427,http://boqueriatapas.com/,"
278 Queenstown Road, London, SW8 4LT
","Mastercard, Visa"
182,"
Hobson's Fish and Chips Restaurant
","British, Seafood",Casual Dining,+44 20 7229 4161,http://www.hobsonsfishandchips.com/,"
9 Porchestor Road, London, W2 5DP
","Mastercard, Visa"
183,"
Le Bar
","French, Bar / Lounge / Bottle Service",Casual Dining,+44 20 7600 7561,http://lebarlondon.co.uk/,"
59 West Smithfield, London, EC1A 9DS
","AMEX, Mastercard, Visa"
184,"
Ukai
","Japanese, Sushi",Casual Elegant,+44 7710 583161,http://www.ukai.co.uk/,"
240 Portobello Road, London, W11 1LL
","AMEX, Mastercard, Visa"
185,"
Beef & Brew, Kentish Town
",Steak,Casual Dining,+44 20 7998 1511,http://www.beef-and-brew.co.uk/,"
323 Kentish Town Road, London, NW5 2TJ
","Mastercard, Visa"
186,"
Jam&Taste
",Caribbean,Casual Elegant,+44 7837 086266,http://www.jamntaste.co.uk/,"
42 Hanbury St, London, E1 5JL
","AMEX, Carte Blanche, Discover, JCB, Mastercard, Visa"
187,"
Rudie's
","Jamaican, Caribbean",Casual Dining,+44 20 7249 9930,http://www.rudieslondon.com/,"
50 Stoke Newington Road, London, N16 7XB
","AMEX, Mastercard, Visa"
188,"
RustiKo Soho
",Italian,Casual Dining,+44 20 7734 6361,http://www.rustikosoho.com/,"
37 Old Compton Street, London, W1D 5JY
","AMEX, Mastercard, Visa"
189,"
Bellillo UK
","Italian, Pizzeria, Farm-to-table",Casual Dining,+44 20 7381 1411,https://bellillo.co.uk/london/,"
255 Munster Road, London, SW6 6BW
","AMEX, Diners Club, Discover, Mastercard, Visa"
190,"
Marco Polo
","Italian, Pizzeria, Farm-to-table",Casual Elegant,+44 20 7381 1411,https://bellillo.co.uk/london/,"
Unit 6+7 Riverside Quarter Eastfields Ave, London, SW18 1LP
","Mastercard, Visa"
191,"
Salut! - Islington
","Modern European, French, British",Casual Dining,+44 20 3441 8808,http://www.salut-london.co.uk/,"
412 Essex Road, London, N1 3PJ
","Mastercard, Visa"
192,"
The Lighterman
","British, European",Casual Dining,+44 20 3846 3400,http://www.thelighterman.co.uk/,"
3 Granary Square, London, N1C 4BH
","AMEX, Mastercard, Visa"
193,"
Obicà Mozzarella Bar - St Pauls
","Italian, Mediterranean, Pizzeria",Casual Dining,+44 20 3146 2261,http://www.obica.com/,"
Unit 4, London, EC4M 7AX
","AMEX, Mastercard, Visa"
194,"
El Vino at Fleet Street
","Tapas / Small Plates, Wine Bar, Winery",Casual Dining,+44 20 7353 6786,https://www.davy.co.uk/wine-bar/el-vino-fleet-street/,"
47 Fleet Street, London, EC4Y 1BJ
","AMEX, Mastercard, Visa"
195,"
The Harcourt
","European, French, British",Casual Elegant,+44 20 3771 8660,http://www.theharcourt.com/,"
32 Harcourt Street, London, W1H 4HX
","AMEX, Mastercard, Visa"
196,"
Romulo Cafe London
","Filipino, Pan-Asian",Casual Elegant,+44 20 3141 6390,http://www.romulocafe.co.uk/,"
343 Kensington High Street, London, W8 6NW
","AMEX, Diners Club, Mastercard, Visa"
197,"
Afternoon Tea at The Chesterfield Mayfair
","Afternoon Tea, British, English",Casual Elegant,+44 20 7958 7729,http://www.chesterfieldmayfair.com/,"
35 Charles Street, London, W1J 5EB
","AMEX, JCB, Mastercard, Visa"
198,"
Tarshish
","Turkish, Mediterranean",Casual Dining,+44 20 8881 6479,http://www.tarshish.co.uk/,"
16 - 20 High Road, London, N22 6BX
","Mastercard, Visa"
199,"
Caffe Concerto Northumberland Avenue
","Cafe Dining, Italian",Casual Dining,+44 20 7494 6851,https://www.caffeconcerto.co.uk/restaurant/northumberland-avenue.html,"
4-5 Northumberland Ave, London, WC2N 5BW
","Mastercard, Visa"
200,"
Angoletto
",Italian,Casual Dining,+44 20 7978 2231,http://www.angoletto.co.uk/,"
50 Battersea Park Road, London, SW11 4JP
","Mastercard, Visa"
201,"
MK Bar and Grill
","Italian, Modern European",Casual Dining,+44 20 7589 1383,http://www.huxbrasserie.com/,"
25-35 Gloucester Road, London, SW7 4PL
","AMEX, Mastercard, Visa"
202,"
Raj of Kensington
",Indian,Fine Dining,+44 20 7937 6182,http://rajofkensington.com/,"
1 Abingdon Rd, London, W8 6AH
","AMEX, JCB, Mastercard, Visa"
203,"
MNKY HSE
",Latin American,Casual Dining,+44 20 3870 4880,http://www.mnky-hse.com/,"
10 Dover St, London, W1S 4LQ
","AMEX, Discover, JCB, Mastercard, Visa"
204,"
Al Forno - Shepherd's Bush
",Latin American,Casual Dining,+44 20 3870 4880,http://www.mnky-hse.com/,"
3 - 4 Romney Court, London, W12 8PY
","AMEX, Mastercard, Visa"
205,"
Band of Burgers
",Burgers,Casual Dining,+44 20 7387 3898,http://bandofburgers.co.uk/,"
23 Camden High Street, London, NW1 7JE
","Mastercard, Visa"
206,"
The Westbury
","British, Bar / Lounge / Bottle Service, Beer Garden",Casual Dining,+44 20 8889 2059,http://www.westburyn22.com/,"
57 Westbury Avenue, London, N22 6SA
","Mastercard, Visa"
207,"
Primavera Restaurant
",Italian,Casual Elegant,+44 20 7731 0156,http://www.primaverafulham.co.uk/,"
106 New King's Road Fulham, London, SW6 4LY
","Mastercard, Visa"
208,"
Cafe Monico
",International,Casual Dining,+44 20 3727 6161,http://www.cafemonico.com/,"
39-45 Shaftesbury Avenue, London, W1D 6LA
","Mastercard, Visa"
209,"
Steam Restaurant
","Chinese, Dim Sum",Casual Dining,+44 20 3490 2300,http://www.steamrestaurant.co.uk/,"
177 King street, London, W6 9JT
","AMEX, Mastercard, Visa"
210,"
Cocotte Notting Hill
","Comfort food, Vegetarian",Casual Dining,+44 20 3220 0076,http://mycocotte.uk/,"
95 Westbourne Grove, London, W2 4UW
","AMEX, Mastercard, Visa"
211,"
Luppolo
","Pizzeria, Italian",Casual Dining,+44 20 8530 8528,http://www.luppolopizza.com/,"
36-38 High Street Wanstead, London, E11 2RJ
","AMEX, Cash not accepted, Mastercard, Visa"
212,"
Blacklock Soho
","Steak, Barbecue, British",Casual Dining,+44 20 3441 6996,http://theblacklock.com/soho/,"
24 Great Windmill Street, London, W1D 7LG
","AMEX, Mastercard, Visa"
213,"
Sirous Steak and Persian Cuisine Restaurant
","Steakhouse, Grill, Vegetarian / Vegan",Casual Dining,+44 20 7435 8164,http://www.sirous.co.uk/,"
268 West End Lane, London, NW6 1LJ
","AMEX, Mastercard, Visa"
214,"
Blandford Comptoir
","Mediterranean, French",Casual Dining,+44 20 7935 4626,http://www.blandford-comptoir.co.uk/,"
1 Blandford Street, London, W1U 3DA
","AMEX, Mastercard, Visa"
215,"
Aqua Bar & Grill - Petts Wood
","Mediterranean, Modern European, Steak",Casual Elegant,+44 1689 666220,http://www.aquabarandgrill.co.uk/,"
Station Square, London, BR5 1LZ
","AMEX, Mastercard, Visa"
216,"
Franks Canteen
","European, British, Contemporary European",Casual Dining,+44 20 7354 4830,http://www.frankscanteen.com/,"
86 Highbury Park, London, N5 2XE
","AMEX, Cash not accepted, Mastercard, Visa"
217,"
East Street
","Pan-Asian, Asian",Casual Dining,+44 20 7323 0860,http://eaststreetrestaurant.com/,"
3-5 Rathbone Place, London, W1T 1HJ
","Mastercard, Visa"
218,"
Chislehurst Curry & Grill
",Indian,Casual Dining,+44 20 8467 9390,http://chislehurstcurry-grill.co.uk/,"
53 Chislehurst Road Chislehurst, London, BR7 5NP
","Mastercard, Visa"
219,"
Le Caprice Bar Counter
",Modern European,Casual Elegant,+44 20 7629 2239,http://www.le-caprice.co.uk/,"
Arlington Street, London, SW1A 1RJ
","Mastercard, Visa"
220,"
Patara - Hampstead High Street
",Thaï,Casual Elegant,+44 20 7431 5902,http://www.pataralondon.com/,"
82 Hampstead High Street, London, NW3 1RE
","AMEX, Mastercard, Visa"
221,"
The Restaurant at St Martins Lane London
","British, Contemporary British, Breakfast",Casual Elegant,+44 20 7300 5588,https://www.sbe.com/restaurants/the-restaurant/st-martins-lane-london,"
45 St. Martin's Lane, London, WC2N 4HX
","AMEX, Mastercard, Visa"
222,"
som saa
",Thaï,Casual Dining,+44 20 7324 7790,http://www.somsaa.com/,"
43A Commercial Street, London, E1 6BD
","AMEX, Mastercard, Visa"
223,"
Buonasera
","Italian, Pizzeria",Casual Dining,+44 20 7228 9925,http://buonasera.co.uk/,"
22-26 Northcote Road, London, SW11 1NX
","Mastercard, Visa"
224,"
The Jam
",Italian,Casual Dining,+44 20 7352 8827,http://www.buonaseraatthejam.co.uk/,"
289A Kings Road, London, SW3 5EW
","AMEX, Mastercard, Visa"
225,"
Ormer Mayfair
","British, Contemporary European, European",Casual Elegant,+44 20 7016 5601,http://www.ormermayfair.co.uk/,"
7-12 Half Moon Street, London, W1J 7BH
","AMEX, Diners Club, Mastercard, Visa"
226,"
Picture Fitzrovia
",Modern European,Casual Dining,+44 20 7637 7892,http://picturerestaurant.co.uk/,"
110 Great Portland Street, London, W1W 6PQ
","AMEX, Mastercard, Visa"
227,"
Red Rooster Shoreditch
","Soul food, South American, Comfort food",Casual Dining,+44 20 3146 4545,http://www.thecurtain.com/,"
45 Curtain Road, London, EC2A 3PT
","AMEX, Mastercard, Visa"
228,"
Red Rose Of Chessington
",Indian,Casual Dining,+44 20 8391 5530,http://www.redroseofchessington.co.uk/#/,"
334 Hook Road, London, KT9 1NU
","AMEX, Mastercard, Visa"
229,"
Cattle & Co.
","Barbecue, Bar / Lounge / Bottle Service, American",Casual Dining,+44 20 7693 7278,http://www.cattleandco.com/,"
3-9 Chalton Street, London, NW1 1JD
","Mastercard, Visa"
230,"
Margot Restaurant
",Italian,Casual Elegant,+44 20 3409 4777,http://www.margotrestaurant.com/,"
45 Great Queen Street, London, WC2B 5AA
","AMEX, Mastercard, Visa"
231,"
Pho House Highbury
",Vietnamese,Casual Dining,+44 20 7697 9889,http://www.phohouse.uk/,"
39 Holloway Road, London, N7 8JP
","Mastercard, Visa"
232,"
Village Masaleh
",Indian,Casual Dining,+44 20 8623 9898,http://www.village-masaleh.co.uk/,"
182A Norwood Road, London, SE27 9AU
","Mastercard, Visa"
233,"
Efes Meze
","Turkish, Mediterranean, Greek",Casual Dining,+44 20 8293 0626,http://www.efesmeze.com/,"
Efes Meze, London, SE10 9TZ
","Mastercard, Visa"
234,"
Demartino
",Italian,Casual Dining,+44 20 7436 2547,http://www.demartino.co.uk/,"
196-198 Great Portland Street, London, W1W 5QF
","AMEX, Mastercard, Visa"
235,"
Eneko – Basque Kitchen & Bar
","Basque, Spanish",Casual Dining,+44 20 7300 0300,http://www.eneko.london/,"
One Aldwych, London, WC2B 4BZ
","AMEX, Mastercard, Visa"
236,"
Craft London
","British, Vegetarian, Contemporary British",Casual Dining,+44 20 8465 5910,http://www.craft-london.co.uk/,"
Pennisula Square, London, SE10 0SQ
","Mastercard, Visa"
237,"
Hack & Veldt
","European, Deli, Wine Bar",Casual Dining,+44 20 8742 0563,http://hackandveldt.com/,"
94 Turnham Green Terrace, London, W4 1QN
","Mastercard, Visa"
238,"
Al Basha
","Middle Eastern, Lebanese, Egyptian",Casual Dining,+44 20 7245 6000,http://www.albasha.uk/,"
48 Knightsbridge, London, SW1X 7JN
","AMEX, Mastercard, Visa"
239,"
L'Affaire
","French, British, Steak",Casual Elegant,+44 20 8616 5510,http://www.laffairelondon.com/,"
134 Wandsworth High St, London, SW18 4JP
","Diners Club, Mastercard, Visa"
240,"
Mother Mash Carnaby
",British,Casual Dining,+44 20 7494 9644,http://www.mothermash.co.uk/,"
26 Ganton Street, London, W1F 7QZ
","AMEX, Diners Club, Mastercard, Visa"
241,"
34 Mayfair Bar Counter
","Steakhouse, Global, International, Grill",Casual Elegant,+44 20 3350 3434,https://34-restaurant.co.uk/,"
34 Grosvenor Square South Audley Street, London, W1K 2HD
","Mastercard, Visa"
242,"
Daphne's
","Cocktail bar, Italian, Bar / Lounge / Bottle Service",Casual Elegant,+44 20 7589 4257,https://daphnes-restaurant.co.uk/,"
112 Draycott Avenue, London, SW3 3AE
","AMEX, Mastercard, Visa"
243,"
ULI
","Asian, Chinese, Thaï",Casual Dining,+44 20 3141 5878,http://ulilondon.com/,"
5 Ladbroke Road, London, W11 3PA
","AMEX, Mastercard, Visa"
244,"
IL Primo
",Italian,Casual Elegant,+44 20 7586 4755,http://www.ilprimorestaurant.co.uk/,"
2B Englands Lane Belsize Park, London, NW3 4TG
","Mastercard, Visa"
245,"
Carousel
",Contemporary European,Casual Dining,+44 20 7487 5564,http://www.carousel-london.com/,"
71 Blandford Street Mayfair, London, W1U 8AB
","Mastercard, Visa"
246,"
Canela Cafe
",Portuguese,Casual Dining,+44 20 7240 6926,http://www.canelacafe.com/,"
33 Earlham Street, London, WC2H 9LS
","AMEX, Mastercard, Visa"
247,"
O Ver Borough
",Italian,Casual Dining,+44 20 7378 9933,http://www.overuk.com/,"
44-46 Southwark Street, London, SE1 1UN
","AMEX, Cash not accepted, Mastercard, Visa"
248,"
Gotto Trattoria
",Italian,Casual Dining,+44 20 3424 5035,http://www.gotto.co.uk/,"
Canalside 27 East Bay Lane, London, E20 3BS
","AMEX, Mastercard, Visa"
249,"
Clipstone
","Modern European, Contemporary British",Casual Dining,+44 20 7637 0871,http://www.clipstonerestaurant.co.uk/,"
Bolsover House, London, W1W 6BB
","AMEX, Mastercard, Visa"
250,"
Breddos Tacos Clerkenwell
","Mexican, Tapas / Small Plates, Unspecified",Casual Dining,+44 20 3535 8301,http://www.breddostacos.com/,"
82 Goswell Road, London, EC1V 7DB
","AMEX, Mastercard, Visa"
